0.3880388+0.2680599i,-0.1178259+-0.09550859i,-0.1188769+-0.6973795i,0.08414175+0.2560403i,0.01974202+-0.1804526i,0+0i,0+0i,0+0i,0+0i,0+0i,0.07539743+-0.0006474499i
0.3863935+0.2275691i,-0.08812135+-0.1301805i,-0.19314+-0.6768458i,0.06862746+0.2272398i,0.09677858+-0.1441115i,0+0i,0+0i,0+0i,0+0i,0+0i,0.07170878+-0.01285092i
0.3673744+0.1620425i,-0.04740574+-0.1758163i,-0.2641696+-0.6297903i,0.04405616+0.1854287i,0.1706392+-0.09894543i,0+0i,0+0i,0+0i,0+0i,0+0i,0.06826947+-0.02482254i
0.3329795+0.07311894i,0.0003675031+-0.2299637i,-0.3257947+-0.5566438i,0.01215592+0.1342465i,0.236916+-0.04745986i,0+0i,0+0i,0+0i,0+0i,0+0i,0.06507444+-0.03511459i
0.2864589+-0.03480838i,0.05022126+-0.288794i,-0.3725967+-0.4600592i,-0.02447208+0.07828954i,0.2918584+0.007200324i,0+0i,0+0i,0+0i,0+0i,0+0i,0.06194398+-0.04245675i
0.2311779+-0.1555772i,0.096899+-0.3489123i,-0.3991967+-0.344294i,-0.06291413+0.02363228i,0.3318374+0.06174993i,0+0i,0+0i,0+0i,0+0i,0+0i,0.05878425+-0.04595377i
0.1710867+-0.2810841i,0.1354413+-0.4061329i,-0.4021278+-0.2151919i,-0.0999163+-0.02400559i,0.3545808+0.1128994i,0+0i,0+0i,0+0i,0+0i,0+0i,0.05537875+-0.04511066i
0.1104729+-0.4013726i,0.1614705+-0.4560607i,-0.3792754+-0.07997523i,-0.1320356+-0.05859656i,0.3583241+0.1574376i,0+0i,0+0i,0+0i,0+0i,0+0i,0.05169071+-0.03990087i
0.05348947+-0.5063834i,0.1720927+-0.4944435i,-0.3310352+0.05377456i,-0.1562424+-0.07577921i,0.343147+0.1927968i,0+0i,0+0i,0+0i,0+0i,0+0i,0.04763439+-0.03085866i
0.003654369+-0.5855434i,0.1656262+-0.5182503i,-0.2588129+0.1776155i,-0.1701343+-0.07144714i,0.3099166+0.2170324i,0+0i,0+0i,0+0i,0+0i,0+0i,0.0434495+-0.01912396i
-0.03674546+-0.6307625i,0.1423126+-0.5253511i,-0.1665392+0.2842121i,-0.1723928+-0.04413903i,0.2611423+0.2292988i,0+0i,0+0i,0+0i,0+0i,0+0i,0.03933953+-0.006150901i
-0.06687267+-0.6350765i,0.1035032+-0.5138578i,-0.06013808+0.3659682i,-0.1624653+0.006433384i,0.1995867+0.2293717i,0+0i,0+0i,0+0i,0+0i,0+0i,0.03576258+0.006584069i
-0.08725003+-0.5957317i,0.05236147+-0.4831771i,0.05287123+0.4179767i,-0.1410551+0.07742187i,0.1291608+0.2182025i,0+0i,0+0i,0+0i,0+0i,0+0i,0.03302918+0.01770157i
-0.09882004+-0.5113222i,-0.006676571+-0.4340117i,0.164426+0.4360763i,-0.1097386+0.1643162i,0.05441338+0.1975549i,0+0i,0+0i,0+0i,0+0i,0+0i,0.03158166+0.02590995i
-0.1036104+-0.3852811i,-0.06817478+-0.3685273i,0.2665335+0.4198437i,-0.0711559+0.2602902i,-0.01978358+0.1699809i,0+0i,0+0i,0+0i,0+0i,0+0i,0.03160628+0.03023783i
-0.1046588+-0.2233227i,-0.1265909+-0.2895355i,0.3504697+0.3700527i,-0.02877917+0.3578334i,-0.08886266+0.1382345i,0+0i,0+0i,0+0i,0+0i,0+0i,0.03327638+0.03002372i
-0.1053942+-0.0351937i,-0.1766054+-0.2007625i,0.4094319+0.2910356i,0.01356957+0.4486848i,-0.1488753+0.105295i,0+0i,0+0i,0+0i,0+0i,0+0i,0.03649129+0.0251541i
-0.1083507+0.1683909i,-0.2131113+-0.1066842i,0.4377193+0.1878826i,0.05195038+0.524004i,-0.1958659+0.07447751i,0+0i,0+0i,0+0i,0+0i,0+0i,0.04114594+0.01607717i
-0.1155561+0.3747269i,-0.2324691+-0.01200796i,0.4328651+0.06835536i,0.08291617+0.5761196i,-0.2273037+0.04862013i,0+0i,0+0i,0+0i,0+0i,0+0i,0.04684482+0.00380698i
-0.1282749+0.5708378i,-0.2325574+0.07805929i,0.3929705+-0.05886248i,0.1030406+0.5984344i,-0.2414253+0.03002966i,0+0i,0+0i,0+0i,0+0i,0+0i,0.05295941+-0.01018944i
-0.1467844+0.7441208i,-0.2134013+0.1589285i,0.3198078+-0.1840882i,0.1101265+0.587139i,-0.2383551+0.01994059i,0+0i,0+0i,0+0i,0+0i,0+0i,0.05868455+-0.02420509i
-0.1692801+0.8829814i,-0.1763745+0.2256284i,0.2165542+-0.2981175i,0.1027059+0.5393303i,-0.2186174+0.01927043i,0+0i,0+0i,0+0i,0+0i,0+0i,0.06324429+-0.03636547i
-0.1930972+0.9788831i,-0.1247193+0.2747464i,0.08984783+-0.3928277i,0.08100829+0.4557657i,-0.1843843+0.02763277i,0+0i,0+0i,0+0i,0+0i,0+0i,0.06588457+-0.0449792i
-0.2143204+1.026072i,-0.06294474+0.3028182i,-0.05264053+-0.4611574i,0.04599356+0.3390737i,-0.1379758+0.04392496i,0+0i,0+0i,0+0i,0+0i,0+0i,0.06577474+-0.04843297i
-0.2289451+1.023379i,0.003273747+0.3086574i,-0.2013951+-0.4986587i,0.0002429915+0.1953958i,-0.08298504+0.06587072i,0+0i,0+0i,0+0i,0+0i,0+0i,0.06230742+-0.04569256i
-0.2316234+0.9724927i,0.06728025+0.2913174i,-0.3470896+-0.5025923i,-0.05273953+0.03180518i,-0.02327117+0.09095936i,0+0i,0+0i,0+0i,0+0i,0+0i,0.05513438+-0.03615757i
-0.2179803+0.8793232i,0.1226575+0.2521642i,-0.4803708+-0.4737005i,-0.1085191+-0.1424546i,0.03687606+0.1161316i,0+0i,0+0i,0+0i,0+0i,0+0i,0.04425937+-0.02004697i
-0.1834077+0.7521016i,0.1632406+0.1922595i,-0.5921201+-0.4148422i,-0.1623072+-0.3176809i,0.09387626+0.1383807i,0+0i,0+0i,0+0i,0+0i,0+0i,0.02981103+0.001829641i
-0.125745+0.6018624i,0.1846512+0.1149268i,-0.6749839+-0.3319222i,-0.2094197+-0.4837433i,0.144526+0.1548907i,0+0i,0+0i,0+0i,0+0i,0+0i,0.01229605+0.02792979i
-0.04377234+0.4415088i,0.1832574+0.02418793i,-0.723013+-0.2320987i,-0.245099+-0.6308988i,0.1858986+0.1634874i,0+0i,0+0i,0+0i,0+0i,0+0i,-0.007414507+0.05619852i
